City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
314,Chapais,CA,49.7834,-74.8492,-4.22,89,100,11.74,overcast clouds
315,Jinka,ET,5.65,36.65,71.69,51,89,1.63,overcast clouds
316,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.88,95,100,9.98,moderate rain
317,Kuytun,RU,54.3419,101.5036,12.99,96,100,5.46,light snow
318,Menongue,AO,-14.6585,17.691,61.9,94,79,1.66,broken clouds
319,Liman,UA,48.9884,37.8023,38.84,88,100,17.56,overcast clouds
320,Padang,ID,-0.9492,100.3543,71.65,77,75,3.47,broken clouds
321,Parana,AR,-31.732,-60.5238,82.54,30,90,5.26,overcast clouds
322,Penzance,GB,50.1186,-5.5371,52.81,89,84,28.86,broken clouds
323,Coihaique,CL,-45.5752,-72.0662,65.01,97,100,0.56,heavy intensity rain
324,Vizinga,RU,61.0749,50.1031,30.36,90,100,11.59,overcast clouds
325,Jind,IN,29.3167,76.3167,50.95,43,0,7.02,clear sky
326,Luena,AO,-11.7833,19.9167,60.78,97,74,2.42,broken clouds
327,Velka Nad Velickou,CZ,48.8826,17.5206,32.76,70,95,4.0,overcast clouds
328,Bosilegrad,RS,42.5011,22.4724,46.04,63,100,3.06,overcast clouds
329,San Ignacio,BZ,17.1561,-89.0714,84.34,58,0,4.61,clear sky
330,Birao,CF,10.2849,22.7882,74.77,15,74,14.67,broken clouds
331,Benghazi,LY,32.1167,20.0667,58.71,80,99,4.32,overcast clouds
332,Rincon,US,32.296,-81.2354,55.85,56,0,5.75,clear sky
333,Chibuto,MZ,-24.6867,33.5306,70.2,94,0,4.92,clear sky
334,Geraldton,AU,-28.7667,114.6,81.01,32,6,8.05,clear sky
335,Catamarca,AR,-28.4696,-65.7852,77.58,82,29,1.99,light rain
336,Dawlatabad,AF,36.4141,64.9053,48.72,51,5,2.71,clear sky
337,Shakawe,BW,-18.3667,21.85,68.36,73,32,4.63,scattered clouds
338,Danielskuil,ZA,-28.1887,23.5395,69.19,48,34,5.77,scattered clouds
339,Harihar,IN,14.5167,75.8,67.33,52,74,5.91,broken clouds
